Region,RegionLabel,ColorGroup,Geographic Area (sq. km),Population (people)
Prov. Antwerpen,BE21,5,2885,1860470.0
Prov. Brabant Wallon,BE31,2,1103,404270.0
Prov. Hainaut,BE32,3,3800,1346082.0
Prov. Liège,BE33,5,3850,1110068.0
Prov. Limburg (BE),BE22,3,2435,875842.0
Prov. Luxembourg (BE),BE34,3,4460,286685.0
Prov. Namur,BE35,1,3684,496891.0
Prov. Oost-Vlaanderen,BE23,0,3006,1516283.0
Prov. Vlaams-Brabant,BE24,1,2122,1146643.0
Prov. West-Vlaanderen,BE25,5,3163,1196995.0
Provence-Alpes-Côte d’Azur,FRL0,3,31816,5116360.0
Provincia Autonoma di Bolzano/Bozen,ITH1,0,7385,530313.0
Provincia Autonoma di Trento,ITH2,1,6222,543721.0
Puglia,ITF4,4,19386,3975528.0
Qender,AL02,5,4961,1170142.0
Região Autónoma da Madeira,PT30,2,774,253923.0
Região Autónoma dos Açores,PT20,1,2280,242201.0
Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,BE10,4,159,1226329.0
Región de Murcia,ES62,5,11311,1487663.0
Région lémanique,CH01,0,8722,1642580.0
Rheinhessen-Pfalz,DEB3,0,6849,2057952.0
Rhône-Alpes,FRK2,1,44972,6660101.0
Saarland,Dec-00,3,2588,990509.0
Sachsen-Anhalt,DEE0,4,20556,2208321.0
Salzburg,AT32,4,7150,555221.0
"Samsun, Tokat, Çorum, Amasya",TR83,0,37992,2822353.0
"Şanlıurfa, Diyarbakır",TRC4,0,34505,3768205.0
Sardegna,ITG0,2,24101,1622257.0
Schleswig-Holstein,DEF0,3,15640,2896712.0
Schwaben,DE27,2,10053,1887754.0
Severovýchod,CZ05,0,12475,1513693.0
Severozápad,CZ04,3,8629,1115685.0
Shropshire and Staffordshire,UKG2,3,6218,1626956.0
Sicilia,ITG1,0,25673,4908548.0
Sjælland,DK02,4,7240,836738.0
Sjeverna Hrvatska,HR06,3,8038,812067.0
Śląskie,PL22,3,12354,4488998.0
Småland med öarna,SE21,1,35929,864630.0
Sostinės regionas,LT01,4,9719,810538.0
South Yorkshire,UKE3,5,1555,1404971.0
Southern,IE05,1,29663,1624381.0
Southern Scotland,UKM8,3,15915,947186.0
Steiermark,AT22,1,16431,1243052.0
Stockholm,SE11,4,6751,2344124.0
Stredné Slovensko,SK03,0,16242,1339242.0
Střední Čechy,CZ02,2,10926,1369332.0
Střední Morava,CZ07,3,9195,1215413.0
Stuttgart,DE11,1,10551,4143418.0
Sud-Est,RO22,3,35744,2396171.0
Sud-Muntenia,RO31,0,34486,2929832.0
Sud-Vest Oltenia,RO42,5,29215,1926860.0
"Surrey, East and West Sussex",UKJ2,4,5476,2909838.0
Świętokrzyskie,PL83,1,11724,1226243.0
Syddanmark,DK05,1,12033,1223348.0
Sydsverige,SE22,3,14349,1521848.0
Tees Valley and Durham,UKC1,0,3026,1201543.0
"Tekirdağ, Edirne, Kırklareli",TR21,1,18863,1802315.0
Thüringen,DEG0,1,16190,2143145.0
Ticino,CH07,5,2798,353343.0
Tirol,AT33,3,12647,754705.0
Toscana,ITI1,0,22951,3701343.0
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",TR81,4,35073,2719113.0
Trier,DEB2,4,4919,531007.0
Trøndelag,NO06,0,41267,462032.0
Tübingen,DE14,4,9102,1856517.0
Umbria,ITI2,1,8460,873744.0
Unterfranken,DE26,0,8515,1317124.0
Utrecht,NL31,0,1452,1306912.0
Valle d’Aosta/Vallée d’Aoste,ITC2,4,3266,125653.0
"Van, Muş, Bitlis, Hakkari",TRB2,3,44474,2167642.0
Västsverige,SE23,0,34475,2039166.0
Veneto,ITH3,2,17727,4884590.0
Veri,AL03,0,10821,813758.0
Vest,RO12,2,32040,1777474.0
Vestlandet,NO0A,5,57438,1387010.0
Vidurio ir vakarų Lietuvos regionas,LT02,0,55195,1983646.0
Vorarlberg,AT34,5,2604,394297.0
Východné Slovensko,SK04,3,15719,1625436.0
Vzhodna Slovenija,SI04,5,12420,1094435.0
Warmińsko-mazurskie,PL62,4,23995,1404441.0
Warszawski stołeczny,PL91,5,6094,3053104.0
Weser-Ems,DE94,3,14898,2525333.0
West Central Scotland,UKM3,5,1996,1541998.0
West Midlands,UKG3,2,880,2928377.0
West Wales and The Valleys,UKL2,3,13198,1968383.0
West Yorkshire,UKE4,2,2026,2324560.0
Wielkopolskie,PL41,5,29815,3473172.0
Wien,AT13,1,406,1897491.0
Zachodniopomorskie,PL42,1,22460,1675502.0
Zahodna Slovenija,SI03,2,7846,986473.0
Západné Slovensko,SK02,5,14986,1826145.0
Zeeland,NL43,1,1920,383032.0
Zentralschweiz,CH06,3,4487,813056.0
"Zonguldak, Karabük, Bartın",TR84,2,9527,1046711.0
Zuid-Holland,NL33,2,3243,3709139.0
Zürich,CH07,2,1741,1520968.0
Βόρειο Αιγαίο,EL41,5,3760,221098.0
Δυτική Ελλάδα,EL63,0,11354,655189.0
Δυτική Μακεδονία,EL53,2,9460,267008.0
Ήπειρος,EL54,5,9166,333696.0
Θεσσαλία,EL61,4,13998,718640.0
Ιόνια Νησιά,EL62,4,2171,203869.0
Κεντρική Μακεδονία,EL52,0,18901,1873777.0
Κρήτη,EL43,4,8324,634930.0
Κύπρος,CY00,3,9283,875899.0
Νότιο Αιγαίο,EL42,3,4789,344027.0
Πελοπόννησος,EL65,3,15480,574447.0
Στερεά Ελλάδα,EL64,1,15531,555960.0
Београдски регион,RS22,3,3241,1692768.0
Регион Војводине,RS21,1,21490,1834430.0
Регион Јужне и Источне Србије,RS23,0,26256,1463882.0
Регион Шумадије и Западне Србије,RS24,2,26519,1880467.0
Северен централен,BG31,2,14803,784168.0
Северна Македонија,MK00,3,25430,2077132.0
Северозападен,BG32,1,19064,742304.0
Североизточен,BG33,5,14664,929035.0
Црна Гора,ME00,4,13891,622182.0
Югозападен,BG41,2,20296,2102205.0
Югоизточен,BG34,4,19819,1032079.0
Южен централен,BG42,0,22383,1410248.0
